"T9671",1,"Danicar"
"T9672",2,"'72 Ford Gran Torino Sport"
"T9673",3,"'10 Ford Shelby GT500 Super Snake"
"T9674",4,"'69 Copo Corvette"
"T6975",5,"Custom '11 Camaro"
"T9676",6,"Dodge Challenger Drift Car"
"T9775",7,"Fast Cash"
"????",8,"VW Brasilia"
"T9679",9,"Lamborghini Gallardo LP 570-4 Superleggera"
,10,"24 Ours"
"T9681",11,"'70 Pontiac GTO Judge"
"T9682",12,"'71 Dodge Challenger"
,13,"Retro-Active"
,14,"'63 Mustang II Concept"
,15,"Speed Trap"
,16,"Renault Megane Trophy"
,17,"Future Race DTM"
,18,"Back to the Future Time Machine"
,19,"Euro Racing Rig"
"T9690",20,"Honda S2000"
,21,"'69 Shelby GT 500"
,22,"2009 Nissan Skyline GT500"
,23,"El Superfasto"
,24,"Batmobile"
,25,"'68 COPO Camaro"
,26,"2010 BMW M3"
,27,"Future Hot Rod TBD"
,28,"Buzzerk"
,29,"'63 Studebaker"
,30,"Mini Challenge 1"
,31,"Aston Martin One-77"
,32,"Mclaren MP 4 12C"
,33,"Nissan Skyline KPGC10 Race"
,34,"Period Muscle"
,35,"Diesel Duty"
,36,"Porsche 911 GT3 RS"
,37,"2010 Chevy Impala (Danica Patrick)"
,38,"Twinduction"
,39,"Knight Rider Pontiac Firebird"
,40,"2012 Frd Fiesta"
,41,"'65 Ranchero"
,42,"Blown 70 Charger"
,43,"2011 Dodge Charger"
,44,"Alternate Vehicle 3 TBD"
,45,"2011 Ferrari (Succesor of 612 Scaglietti)"
"T9716",46,"Circle Trucker"
,47,"'70 Camaro Road Race"
,48,"Lamborghini Aventador"
,49,"Dale Earnhardt Jr. Car TBD"
,50,"Honda HSV-010 GT"
